"edible","capshape","capsurface","capcolor","bruises","odor","gillattach","gillspace","gillsize","gillcolor","stalkshape","stalkroot","stalksurfabove","stalksurfbelow","stalkcolorabove","stalkcolorbelow","veiltype","veilcolor","ringnumber","ringtype","sporeprintcol","pop","habitat"
"edible","flat","fibrous","w","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","pink","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","several","woods"
"edible","flat","smooth","y","bruises","almond","free","crowded","narrow","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","purple","several","woods"
"edible","convex","fibrous","w","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","bell","smooth","y","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","flat","smooth","n","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","convex","fibrous","g","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","convex","fibrous","n","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","bell","scaly","y","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","pink","partial","white","one","pendant","brown","several","woods"
"edible","flat","fibrous","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","brown","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","chocolate","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","pink","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","scaly","n","bruises","almond","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","convex","scaly","w","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"edible","bell","scaly","w","bruises","almond","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","convex","smooth","g","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","scaly","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","convex","scaly","y","bruises","almond","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths"
"edible","convex","smooth","w","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","pink","pink","partial","white","one","pendant","black","solitary","woods"
"edible","flat","smooth","n","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","convex","smooth","g","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","several","woods"
"edible","flat","fibrous","w","no","none","free","crowded","broad","pink","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","n","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","fibrous","g","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","fibrous","g","no","none","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","solitary","urban"
"edible","bell","scaly","y","bruises","anise","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","flat","fibrous","n","no","none","free","close","narrow","gray","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","urban"
"edible","convex","fibrous","w","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","scaly","n","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths"
"edible","convex","scaly","n","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","paths"
"edible","convex","scaly","y","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","convex","scaly","w","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","brown","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","flat","smooth","n","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","scaly","y","bruises","anise","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","fibrous","n","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","pink","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","smooth","y","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","meadows"
"edible","convex","fibrous","e","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","flat","scaly","n","bruises","anise","free","close","broad","pink","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","brown","scattered","paths"
"edible","bell","smooth","w","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"poisonous","convex","smooth","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","bell","scaly","w","bruises","almond","free","close","broad","brown","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","meadows"
"edible","convex","smooth","w","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","bell","scaly","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","meadows"
"edible","convex","scaly","w","bruises","anise","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","convex","smooth","y","bruises","almond","free","close","broad","gray","e","club","smooth","smooth","white","white","partial","white","one","pendant","brown","numerous","grasses"
"edible","bell","smooth","w","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","flat","scaly","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban"
"edible","flat","smooth","w","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","pink","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","scaly","y","bruises","almond","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","solitary","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","brown","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","fibrous","n","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","flat","smooth","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","pink","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","chocolate","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","brown","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","smooth","g","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","chocolate","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","scaly","e","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","convex","fibrous","n","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","convex","smooth","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"edible","convex","scaly","n","bruises","none","free","close","broad","white","t","bulbous","smooth","smooth","pink","gray","partial","white","one","pendant","black","solitary","woods"
"edible","convex","fibrous","n","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"poisonous","flat","scaly","w","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","pink","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","pink","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","smooth","g","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"poisonous","convex","smooth","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","urban"
"edible","flat","smooth","n","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","smooth","g","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","scaly","g","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","solitary","woods"
"edible","convex","fibrous","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","several","woods"
"edible","flat","smooth","w","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"poisonous","flat","scaly","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"poisonous","flat","scaly","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"poisonous","flat","smooth","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"poisonous","flat","smooth","n","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"poisonous","flat","scaly","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"poisonous","flat","scaly","n","bruises","pungent","free","close","narrow","white","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","flat","smooth","w","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","flat","scaly","n","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","urban"
"edible","convex","smooth","w","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","scaly","e","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","pink","white","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","smooth","g","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","brown","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban"
"edible","convex","fibrous","n","no","none","free","crowded","broad","pink","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","bell","scaly","y","bruises","almond","free","close","broad","white","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","meadows"
"edible","convex","smooth","g","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","smooth","n","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","fibrous","n","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","fibrous","g","no","none","free","crowded","broad","chocolate","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","convex","scaly","n","bruises","pungent","free","close","narrow","brown","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","scattered","urban"
"edible","flat","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","pink","t","bulbous","smooth","smooth","white","gray","partial","white","one","pendant","black","solitary","woods"
"edible","flat","smooth","w","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","gray","gray","partial","white","one","pendant","black","several","woods"
"edible","convex","fibrous","g","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","w","no","none","free","crowded","broad","brown","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","abundant","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","several","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","pink","e","equal","smooth","smooth","white","white","partial","white","one","pendant","black","several","grasses"
"edible","convex","smooth","g","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","purple","t","bulbous","smooth","smooth","gray","pink","partial","white","one","pendant","brown","several","woods"
"edible","convex","smooth","g","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","black","scattered","grasses"
"edible","convex","scaly","y","bruises","almond","free","close","broad","white","e","rooted","smooth","scaly","white","white","partial","white","one","pendant","black","scattered","paths"
"edible","flat","smooth","w","no","none","free","crowded","broad","brown","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","smooth","w","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","black","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","black","abundant","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","convex","fibrous","n","bruises","none","free","close","broad","brown","t","bulbous","smooth","smooth","white","white","partial","white","one","pendant","brown","solitary","woods"
"edible","flat","smooth","g","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","pink","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","black","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","smooth","w","no","none","free","crowded","broad","chocolate","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","pink","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","fibrous","w","no","none","free","crowded","broad","brown","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","smooth","n","no","none","free","crowded","broad","pink","t","equal","smooth","fibrous","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"poisonous","flat","smooth","w","bruises","pungent","free","close","narrow","black","e","equal","smooth","smooth","white","white","partial","white","one","pendant","brown","scattered","grasses"
"edible","convex","fibrous","g","no","none","free","crowded","broad","brown","t","equal","fibrous","smooth","white","white","partial","white","one","evanescent","brown","abundant","grasses"
"edible","bell","scaly","y","bruises","anise","free","close","broad","black","e","club","smooth","smooth","white","white","partial","white","one","pendant","black","numerous","grasses"
"edible","flat","fibrous","n","no","none","free","crowded","broad","black","t","equal","fibrous","fibrous","white","white","partial","white","one","evanescent","brown","scattered","grasses"
"edible","flat","smooth","g","no","none","free","crowded","broad","black","t","equal","smooth","smooth","white","white","partial","white","one","evanescent","brown","scattered","grasses"
